,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Day,Month,Year,Hour,Minute,Total Consumption
0,2.186,0.096,241.78,9.4,4,10,2010,7,36,19.0
1,1.734,0.204,241.65,7.2,2,1,2009,12,42,18.0
2,1.362,0.082,238.68,5.6,5,4,2010,8,1,19.0
3,0.342,0.232,242.93,1.6,14,9,2009,2,37,2.0
4,0.7,0.11,239.35,3.0,26,3,2009,22,0,1.0
5,1.078,0.136,238.91,4.4,17,11,2010,17,43,0.0
6,0.298,0.0,248.06,1.4,1,8,2009,23,22,0.0
7,0.16,0.0,244.41,0.6,10,3,2009,4,26,1.0
8,1.314,0.0,240.03,5.4,19,12,2006,1,1,17.0
9,2.376,0.0,236.05,10.0,13,8,2007,23,53,17.0
10,0.154,0.12,239.04,0.8,8,10,2008,0,2,1.0
11,0.246,0.0,242.12,1.0,13,11,2009,17,48,1.0
12,1.378,0.054,239.51,5.6,6,6,2007,0,1,19.0
13,4.574,0.168,236.97,19.4,24,7,2008,21,14,50.0
14,0.892,0.172,243.07,3.6,18,5,2010,3,0,11.0
15,0.288,0.05,241.69,1.4,2,1,2007,1,49,0.0
16,0.674,0.092,239.81,2.8,3,12,2010,21,44,2.0
17,1.106,0.348,238.71,4.8,23,4,2009,12,15,11.0
18,2.372,0.096,239.5,9.8,4,8,2007,2,10,0.0
19,1.34,0.058,238.94,5.6,6,9,2007,14,22,17.0
20,2.392,0.46,240.19,10.2,14,3,2010,19,51,3.0
21,0.28,0.0,247.65,1.2,19,11,2007,6,36,0.0
22,3.398,0.0,240.34,14.2,28,3,2007,16,24,54.0
23,3.334,0.064,236.55,14.0,16,1,2008,21,28,17.0
24,0.372,0.0,241.9,1.6,29,4,2009,5,17,0.0
25,0.27,0.114,241.34,1.2,15,6,2010,10,22,0.0
26,1.646,0.306,236.88,7.0,18,6,2010,7,53,19.0
27,0.158,0.0,240.48,0.6,8,6,2010,21,50,0.0
28,1.438,0.1,243.18,5.8,28,1,2010,2,15,20.0
29,0.354,0.124,243.25,1.4,23,4,2008,4,39,1.0
30,1.368,0.0,233.41,5.8,6,5,2007,6,55,16.0
31,2.664,0.248,237.62,11.4,20,4,2008,22,37,31.0
32,0.418,0.2,244.24,1.8,25,2,2010,3,44,1.0
33,1.62,0.0,245.78,6.6,18,3,2009,22,17,19.0
34,1.452,0.202,240.66,6.0,26,3,2009,9,28,19.0
35,3.172,0.196,239.79,13.2,4,1,2010,19,46,18.0
36,1.322,0.0,243.95,5.4,27,11,2009,14,18,18.0
37,0.376,0.188,235.44,1.8,31,5,2007,12,9,1.0
38,0.31,0.252,244.0,1.6,23,9,2009,1,6,2.0
39,3.622,0.254,233.28,15.6,15,11,2007,19,39,16.0
40,0.248,0.0,241.59,1.0,11,5,2007,4,32,0.0
41,0.382,0.09,239.08,1.6,11,4,2007,23,13,0.0
42,0.244,0.0,240.01,1.0,20,10,2008,5,13,1.0
43,1.328,0.108,241.27,5.4,19,7,2010,19,54,18.0
44,0.542,0.062,243.67,2.2,27,1,2007,21,36,0.0
